date,code,earn_rate
20160105,000001,0.0641458210502864
20160105,000002,0.0641458210502864
20160105,000004,-0.05802738156409264
20160105,000005,-0.059020845616380116
20160105,000006,-0.03296150879264549
20160105,000007,-0.03296150879264549
20160105,000008,-0.05936427995981465
20160105,000009,-0.04539946477005498
20160105,000010,-0.0315169086085061
20160105,000011,-0.021614100950172258
20160106,000001,-0.024627039426484004
20160106,000002,-0.024627039426484004
20160106,000004,-0.008603377787915503
20160106,000005,0.055200543780711736
20160106,000006,0.004550335510875386
20160106,000007,0.004550335510875386
20160106,000008,0.09622221560733737
20160106,000009,0.015083423106939033
20160106,000010,-0.03560298883420107
20160106,000011,-0.025839936927700452
20160107,000001,-0.0038959573846418754
20160107,000002,-0.0038959573846418754
20160107,000004,-0.005610974217214567
20160107,000005,0.01043261415612107
20160107,000006,0.003937949854932791
20160107,000007,0.003937949854932791
20160107,000008,-0.022128580896862197
20160107,000009,-0.015129924606393504
20160107,000010,0.016770153374213063
20160107,000011,-0.007004364387105052
20160108,000001,0.02850303801878369
20160108,000002,0.02850303801878369
20160108,000004,-0.04150094572753131
20160108,000005,-0.0015348498764797061
20160108,000006,-0.014185654897926711
20160108,000007,-0.014185654897926711
20160108,000008,-0.0003506674343959765
20160108,000009,-0.001065252388612263
20160108,000010,-0.009904551254424618
20160108,000011,-0.013968478195063902
20160111,000001,0.0087958584536986
20160111,000002,0.0087958584536986
20160111,000004,0.0039026022850088583
20160111,000005,-0.024735676046047945
20160111,000006,0.00441988861884238
20160111,000007,0.00441988861884238
20160111,000008,-0.0006809844151961231
20160111,000009,-0.027311761387131626
20160111,000010,-0.02930279029552871
20160111,000011,-0.01927937832197665
20160112,000001,0.03259164551515725
20160112,000002,0.03259164551515725
20160112,000004,-0.025714741974903643
20160112,000005,-0.036512632559709046
20160112,000006,-0.0336742391378243
20160112,000007,-0.0336742391378243
20160112,000008,0.04704518996870177
20160112,000009,-0.02072171733975292
20160112,000010,-0.0186204756969639
20160112,000011,-0.04123952331601155
20160113,000001,-0.0013673381978950294
20160113,000002,-0.0013673381978950294
20160113,000004,0.000332029748834394
20160113,000005,0.010495440710907356
20160113,000006,-0.008078464590234757
20160113,000007,-0.008078464590234757
20160113,000008,-0.03897163265939419
20160113,000009,1.5572520195684426e-05
20160113,000010,0.00820238570700893
20160113,000011,0.02250426030300134
20160114,000001,0.04286526188254905
20160114,000002,0.04286526188254905
20160114,000004,-0.02458652875105967
20160114,000005,-0.021691791908954386
20160114,000006,0.03172648414460269
20160114,000007,0.03172648414460269
20160114,000008,-0.049669344486049385
20160114,000009,-0.006744664732725128
20160114,000010,-0.031075026721289783
20160114,000011,-0.0057770049415359626
20160115,000001,-0.053376633066384495
20160115,000002,-0.053376633066384495
20160115,000004,0.007002307766987868
20160115,000005,-0.010711280190414542
20160115,000006,-0.031937862021450304
20160115,000007,-0.031937862021450304
20160115,000008,0.10354276925545072
20160115,000009,0.017000112457632242
20160115,000010,0.024350706888335315
20160115,000011,-0.025966023952554075
20160118,000001,0.0209550628818495
20160118,000002,0.0209550628818495
20160118,000004,-0.010514848531230143
20160118,000005,0.019205868806823338
20160118,000006,0.013014156755022085
20160118,000007,0.013014156755022085
20160118,000008,-0.0046379044112830475
20160118,000009,-0.042800195376698956
20160118,000010,0.009307157941261739
20160118,000011,0.004114402873132847
20160119,000001,-0.023440082923532696
20160119,000002,-0.023440082923532696
20160119,000004,0.03454230885929946
20160119,000005,-0.006974243848654721
20160119,000006,0.006612124752832266
20160119,000007,0.006612124752832266
20160119,000008,-0.04906767415775745
20160119,000009,0.026990321494203467
20160119,000010,0.13113901050847457
20160119,000011,0.019268899538854946
20160120,000001,-0.008912851301593507
20160120,000002,-0.008912851301593507
20160120,000004,0.021697424277347742
20160120,000005,0.07549703705566332
20160120,000006,-0.011509282059660546
20160120,000007,-0.011509282059660546
20160120,000008,0.018250660244069038
20160120,000009,0.014325973906182926
20160120,000010,0.04676569377208125
20160120,000011,0.007878698757086654
20160121,000001,0.0005486736695265761
20160121,000002,0.0005486736695265761
20160121,000004,-0.01714027266937004
20160121,000005,-0.0052063681406063975
20160121,000006,-0.007892898852536991
20160121,000007,-0.007892898852536991
20160121,000008,-0.04817703161418166
20160121,000009,0.0012620930888030714
20160121,000010,0.00613246280773236
20160121,000011,0.00011705492086408822
20160122,000001,0.005101917928220455
20160122,000002,0.005101917928220455
20160122,000004,0.02450769788756313
20160122,000005,-0.015578522599548285
20160122,000006,-0.0004066687180169816
20160122,000007,-0.0004066687180169816
20160122,000008,-0.01726449428551991
20160122,000009,-0.006734899269943641
20160122,000010,0.018583458930854224
20160122,000011,0.03417800084118583
20160125,000001,-0.013388508588664484
20160125,000002,-0.013388508588664484
20160125,000004,-0.029111779028916054
20160125,000005,-0.00014347547608163473
20160125,000006,-0.007335239823531138
20160125,000007,-0.007335239823531138
20160125,000008,0.002648146623248403
20160125,000009,0.011234207852955915
20160125,000010,0.03312311931831235
20160125,000011,0.0037870639304193755
20160126,000001,0.0034742661681648685
20160126,000002,0.0034742661681648685
20160126,000004,0.013402995585712058
20160126,000005,-0.009748458819266064
20160126,000006,-0.006883967655772984
20160126,000007,-0.006883967655772984
20160126,000008,0.015676156724057803
20160126,000009,-0.01984117807751202
20160126,000010,-0.03105564836174974
20160126,000011,-0.004780893306506833
20160127,000001,0.02296818076760116
20160127,000002,0.02296818076760116
20160127,000004,-0.03136735681459473
20160127,000005,-0.023353271090690457
20160127,000006,-0.027476415675627246
20160127,000007,-0.027476415675627246
20160127,000008,-0.012192861176386453
20160127,000009,-0.02644112155798011
20160127,000010,-0.011166875618304921
20160127,000011,-0.024083828898304342
20160128,000001,0.017906231782544402
20160128,000002,0.017906231782544402
20160128,000004,-0.030004989462802233
20160128,000005,-0.01329027789599253
20160128,000006,-0.03956461251463268
20160128,000007,-0.03956461251463268
20160128,000008,0.04472227337148786
20160128,000009,0.009702442417373766
20160128,000010,0.028983774582141564
20160128,000011,-0.026224558751191732
20160129,000001,0.024798705176343097
20160129,000002,0.024798705176343097
20160129,000004,0.007572210359186548
20160129,000005,-0.009672615738634857
20160129,000006,0.03150234324454339
20160129,000007,0.03150234324454339
20160129,000008,-0.037376466993027435
20160129,000009,0.0025610730164098566
20160129,000010,0.03169534468754477
20160129,000011,0.06712395549239593
